uid,spotify_id,name,artist,year,decade,popularity,energy,valence,danceability,acousticness,instrumentalness,speechiness,mds_x,mds_y,energy_band,contrast
2gLvu1BdTFX5rggZi6LuCN,2gLvu1BdTFX5rggZi6LuCN,El Viejito del Acordeón - Remasterizado,"Francisco Canaro, Roberto Maida",1936,1930,0.0,0.474,0.927,0.7440000000000001,0.989,0.0669,0.0422,-0.23373982339611543,0.4285991503434091,middle,other
2riR82tBShhMRLZwrlsFAc,2riR82tBShhMRLZwrlsFAc,Capítulo 9.5 - la Sombra Fuera del Tiempo,H.P. Lovecraft,1936,1930,0.0,0.353,0.49,0.7240000000000001,0.652,0.0,0.912,-0.09462232436570898,0.3830428065755672,middle,other
18Gi2m8FbUXonr2awZkylF,18Gi2m8FbUXonr2awZkylF,Часть 117.4 & Часть 118.1 - По ком звонит колокол,Эрнест Хемингуэй,1940,1940,0.0,0.0826,0.581,0.718,0.0328,0.0,0.923,0.2563273331722998,0.25367051941358565,low,other
2aUXQS2aJIbebVXQ1TJQdo,2aUXQS2aJIbebVXQ1TJQdo,Io te vurria vasa' - Instrument and base Version,Orchestra Studio 7,1942,1940,0.0,0.223,0.4320000000000001,0.393,0.233,0.333,0.0279,-0.039036387386336205,-0.2116225113636206,low,other
3IumJd6SMcEh99wyOfx6Uo,3IumJd6SMcEh99wyOfx6Uo,Tommar Swapne Aami,Rooprekha Chatterjee,1942,1940,0.0,0.28300000000000003,0.409,0.475,0.923,0.0,0.132,-0.3989133798077023,0.31888114426793224,middle,other
0fzXY5NRz6x0yrBiubJ8l2,0fzXY5NRz6x0yrBiubJ8l2,Forår i Heidelberg/En herlig studentertid,Teddy Petersens Koncertorkester og kor,1943,1940,0.0,0.0637,0.586,0.406,0.953,0.0,0.0311,-0.5038663868285046,0.4032740121501734,low,other
6mUcJO0aqAAF6ygHTkaEgH,6mUcJO0aqAAF6ygHTkaEgH,Jab Tum Hi Chale Pardes,Karan Dewan,1944,1940,0.0,0.235,0.8440000000000001,0.377,0.851,0.795,0.0646,-0.5808772193741342,-0.2611434571747952,low,calm_positive
2kvHljmiauzCMfnfLZbfU0,2kvHljmiauzCMfnfLZbfU0,Tanu Chandan Bati,Hemant Kumar,1947,1940,0.0,0.195,0.511,0.391,0.994,0.928,0.0717,-0.8243867318329293,-0.39552692789977234,low,other
1pV3x1TmjEqevxVbB33lVA,1pV3x1TmjEqevxVbB33lVA,"Trio No. 4 in D Major, Op. 70 ""Ghost"": III. Presto","Ludwig van Beethoven, Rudolf Serkin",1948,1940,0.0,0.249,0.519,0.392,0.954,0.0399,0.0415,-0.4436389152804253,0.30512385794227226,low,other
2MbvD7MQ4GqJGUiLLlx3gS,2MbvD7MQ4GqJGUiLLlx3gS,"Le sacre du printemps: Part 1 ""Adoration of the Earth"", Ritual of Abduction","Igor Stravinsky, Columbia Symphony Orchestra",1948,1940,0.0,0.439,0.215,0.412,0.978,0.836,0.0536,-0.7182306770211586,-0.46368088452885625,middle,other
0BSo0qaf6yU6NmvDmiOZe1,0BSo0qaf6yU6NmvDmiOZe1,"Symphony No. 1 in C Minor, Op. 68: Andante sostenuto","Johannes Brahms, Charles Münch",1951,1950,0.0,0.0532,0.0367,0.0916,0.981,0.835,0.0425,-0.9929039214629066,-0.4873881939299619,low,other
7cFkbjaOwiY7dvIyLwEEux,7cFkbjaOwiY7dvIyLwEEux,If I Loved You (with The Magic Voices),"Percy Faith & His Orchestra, The Magic Voices",1953,1950,2.0,0.266,0.0522,0.18,0.954,0.72,0.0399,-0.8102965343465022,-0.4316042791418491,middle,other
2qXzSaPjkhPt4ixlbZnD7b,2qXzSaPjkhPt4ixlbZnD7b,Lose That Long Face,Judy Garland,1954,1950,9.0,0.472,0.613,0.4970000000000001,0.852,5.44e-06,0.053,-0.20780605581766334,0.2966526616500819,middle,other
5QtrVY5mzKREw3x0wCw6g5,5QtrVY5mzKREw3x0wCw6g5,Pretty-Eyed Baby,"Roy Eldridge, Dizzy Gillespie",1954,1950,6.0,0.205,0.525,0.575,0.758,0.0,0.129,-0.2748990689473633,0.3325511060394103,low,other
6RemJS1Uc5aJjqLkpElftX,6RemJS1Uc5aJjqLkpElftX,What a Diff'rence a Day Made,Chet Baker,1954,1950,11.0,0.225,0.64,0.484,0.993,0.8190000000000001,0.0331,-0.7297702544965695,-0.2631240535862382,low,other
3HbpXD49iulKAGX7Rz4oye,3HbpXD49iulKAGX7Rz4oye,My Old Flame,Paul Bley,1954,1950,7.0,0.365,0.345,0.5870000000000001,0.959,0.941,0.0365,-0.7270156328654664,-0.4665199276831989,middle,other
32BGsZ0LYs6Ufn5susDA0j,32BGsZ0LYs6Ufn5susDA0j,Old Folks - Take 9 / Master,Charlie Parker,1955,1950,10.0,0.513,0.495,0.462,0.907,0.0,0.0364,-0.25897086536677544,0.26429304969849066,middle,other
0Qa1WtVgIPClol80Vcwagu,0Qa1WtVgIPClol80Vcwagu,A Foggy Day,"Hazel Scott, Max Roach, Charles Mingus",1955,1950,9.0,0.14800000000000002,0.746,0.528,0.918,0.929,0.0391,-0.7227320868851274,-0.3219952368442305,low,calm_positive
4az5YUzKIdxT1CCSlgpklh,4az5YUzKIdxT1CCSlgpklh,Little Girl Blue,Ella Fitzgerald,1956,1950,20.0,0.163,0.182,0.23,0.944,3.2e-06,0.0302,-0.5577585835754271,0.22693980514708229,low,other
6VbyiEH0mAgJDSsBJNaLMl,6VbyiEH0mAgJDSsBJNaLMl,"Cheek To Cheek - Live At The Spotlite Club, Washington, D.C./1958",Ahmad Jamal Trio,1958,1950,18.0,0.223,0.224,0.544,0.5760000000000001,0.88,0.0498,-0.5179754112571856,-0.5585113139906613,low,other
03whQz2AOGIKgNU3NQW6a0,03whQz2AOGIKgNU3NQW6a0,Fascinating Rhythm,Ella Fitzgerald,1959,1950,23.0,0.28600000000000003,0.462,0.6679999999999999,0.79,9.58e-06,0.0764,-0.26018575965356205,0.320810657241963,middle,other
733hBb8D1TyxBgNcM28fk6,733hBb8D1TyxBgNcM28fk6,While We Danced At The Mardi Gras,Pete Fountain,1959,1950,14.0,0.544,0.944,0.459,0.17,0.000166,0.0325,0.40448501881849663,0.11375679292369097,middle,other
27LWYN5H4rfXlRz1vFNm63,27LWYN5H4rfXlRz1vFNm63,El Preso Numero Nueve,Joan Baez,1960,1960,27.0,0.2,0.333,0.609,0.815,0.0,0.048,-0.35727431814021193,0.29931407892969836,low,other
4cndS1r6nH04gOVaRHVB8U,4cndS1r6nH04gOVaRHVB8U,Give Me The Simple Life,Julie London,1960,1960,21.0,0.277,0.359,0.6609999999999999,0.5660000000000001,0.0,0.138,-0.11765169668626801,0.22166864759070998,middle,other
46MfTMhJu9lc5nHgoMNSC6,46MfTMhJu9lc5nHgoMNSC6,By The Numbers - RVG Remaster,"John Coltrane, Red Garland, Paul Chambers, Art Taylor",1961,1960,22.0,0.284,0.16399999999999998,0.445,0.8490000000000001,0.0128,0.0388,-0.40478050313471076,0.19673570468554244,middle,other
2Syo9vgnbr6TkX7sV5DOmI,2Syo9vgnbr6TkX7sV5DOmI,How Does It Feel,The Ronettes,1964,1960,23.0,0.877,0.482,0.498,0.0665,0.000758,0.0819,0.5555256060518714,-0.11587077209782272,high,other
2DonFSnhEr0WQcuHcHb5ti,2DonFSnhEr0WQcuHcHb5ti,Goin' Down Slow,"Bo Diddley, Muddy Waters, Howlin' Wolf",1968,1960,34.0,0.4320000000000001,0.613,0.355,0.0628,0.0,0.0423,0.3459973728176186,-0.008059499978636891,middle,other
5NyZhrOV4Nh3Ws9ctGtX2j,5NyZhrOV4Nh3Ws9ctGtX2j,South California Purples - 2002 Remaster,Chicago,1969,1960,30.0,0.602,0.509,0.454,0.0183,0.0245,0.045,0.4464397377400681,-0.09183559978487851,middle,other
0XXjBRi5sNWojqxmYJGiA2,0XXjBRi5sNWojqxmYJGiA2,Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,1969,1960,34.0,0.835,0.936,0.745,0.014,0.113,0.0346,0.662730308375747,-0.04478347305126536,high,other
6f5GVaxl1gQ7EGK9LEgKV4,6f5GVaxl1gQ7EGK9LEgKV4,Heart of the Sunrise - 2008 Remaster,Yes,1971,1970,30.0,0.573,0.393,0.368,0.00933,0.147,0.0484,0.35799154885386214,-0.23861150991780342,middle,other
17sTUE1DweDdop28Okl2hj,17sTUE1DweDdop28Okl2hj,Siberian Khatru,Yes,1972,1970,30.0,0.741,0.58,0.35,0.0315,0.0252,0.0441,0.5050910596064448,-0.12616121942336397,high,other
3L8QORDaVg3pJ4K4Y2aBVT,3L8QORDaVg3pJ4K4Y2aBVT,Help Me Thru The Night,Joe Walsh,1974,1970,32.0,0.302,0.511,0.4970000000000001,0.483,6.65e-06,0.0269,-0.03595066840157343,0.17607759069180684,middle,other
6RipbJl00ATUBclT3l0aKm,6RipbJl00ATUBclT3l0aKm,Too Shy To Say,Stevie Wonder,1974,1970,35.0,0.206,0.0781,0.177,0.868,0.000337,0.0323,-0.5087499758635826,0.1492842733884441,low,other
5Qo14bQqTK9iGbf2g6JUjL,5Qo14bQqTK9iGbf2g6JUjL,Answering Machine,Rupert Holmes,1979,1970,34.0,0.488,0.961,0.775,0.24,0.0,0.123,0.3738072868268775,0.2393998625827354,middle,other
5BsfxG08SKbFzEhv2UXuiW,5BsfxG08SKbFzEhv2UXuiW,Don't Try Suicide - Remastered 2011,Queen,1980,1980,31.0,0.485,0.645,0.795,0.338,0.0,0.201,0.23640715017402966,0.2041978499127074,middle,other
0gJWAXkAbWEbK66D78EZ6C,0gJWAXkAbWEbK66D78EZ6C,You Don't Have to Be Old to Be Wise,Judas Priest,1980,1980,38.0,0.931,0.495,0.521,0.0051,5.01e-05,0.0529,0.6340228384641803,-0.14566200639133497,high,other
5cVohoOf4zIKtze7nir0L7,5cVohoOf4zIKtze7nir0L7,For You,Manfred Mann's Earth Band,1980,1980,30.0,0.619,0.415,0.6709999999999999,0.18,4.46e-06,0.0425,0.35272918188527214,0.004380562007501069,middle,other
3KXFQXIe81YbToHLAXZowB,3KXFQXIe81YbToHLAXZowB,When You Touch Me,Skyy,1981,1980,32.0,0.306,0.335,0.531,0.246,1.75e-06,0.0438,0.1123748360343145,0.052694384017592445,middle,other
3RXdyPbYyWClA34vGYFito,3RXdyPbYyWClA34vGYFito,Open Arms - Live Version,Journey,1981,1980,36.0,0.442,0.223,0.272,0.459,0.0,0.0317,-0.04088603614716891,0.005522234598367745,middle,other
0mZsMH5ZUBkhkDHy3YnXlM,0mZsMH5ZUBkhkDHy3YnXlM,Controller,Oingo Boingo,1981,1980,32.0,0.913,0.871,0.531,0.0181,0.000911,0.0568,0.6955529058578279,-0.03287665243804689,high,other
4Yq4yADeZFQIFFUHN8n4Qe,4Yq4yADeZFQIFFUHN8n4Qe,There Goes A Tenner,Kate Bush,1982,1980,41.0,0.34600000000000003,0.78,0.828,0.6579999999999999,1.28e-05,0.0582,-0.0423756733395404,0.37814444741087977,middle,other
6mVJRgyXJ3eAy6EViECJyW,6mVJRgyXJ3eAy6EViECJyW,Burning Heart,Vandenberg,1982,1980,46.0,0.546,0.486,0.438,0.127,0.0,0.0419,0.338843685867144,-0.02925119665499073,middle,other
01dopXYpjwD8IFvgRasCTd,01dopXYpjwD8IFvgRasCTd,Hell And High Water,T. Graham Brown,1986,1980,34.0,0.277,0.526,0.609,0.115,1.8e-06,0.0251,0.24736274130007047,0.07972813880747824,middle,other
4P9bCYQWtzgU1a5LpFQSQK,4P9bCYQWtzgU1a5LpFQSQK,The Lost Paradise,Joe Hisaishi,1986,1980,41.0,0.0609,0.204,0.316,0.93,0.915,0.0335,-0.9133480321445399,-0.47917096584070934,low,other
